EdgeDesc,Begin,End,Note
Arrow,"2.OA.2||fluency to 15, no memory",2.OA.2||no memory,
Arrow,2.OA.2||no memory,2.NBT.5||no fluency,
Arrow,2.OA.2||no memory,2.OA.2,
Arrow,2.OA.3,3.OA.1,
Arrow,2.OA.3,3.OA.9,
Arrow,2.OA.4,3.OA.1,
Arrow,3.G.1,4.G.1,
Arrow,3.G.1,5.G.3,
Nondirectional link,3.MD.2,3.OA.8,
Arrow,3.MD.2,4.MD.1,
Arrow,"3.MD.2||measure, estimate only",3.MD.2,
Nondirectional link,"3.MD.2||measure, estimate only",3.NF.1,
Arrow,3.MD.4,4.MD.4,
Arrow,3.MD.5,3.MD.6,
Arrow,3.MD.5,3.MD.7.d,
Arrow,3.MD.5,3.MD.8,
Arrow,3.MD.5,5.MD.3,
Arrow,3.MD.6,3.MD.7.a,
Arrow,3.MD.7.a,3.MD.7.b,
Arrow,3.MD.7.a,3.MD.7.c,
Arrow,3.MD.7.b,3.MD.7.c,
Arrow,3.MD.7.b,4.MD.3,
Arrow,3.MD.7.b,5.NF.4.a||a/b x n,
Arrow,3.MD.7.c,3.MD.7.d,
Arrow,3.MD.8,4.MD.3,
Arrow,3.NBT.1,4.NBT.3,
Arrow,3.NBT.2,4.NBT.4,
Arrow,3.NBT.2,4.NBT.5||no two-digit by two-digit,
Arrow,3.NBT.2,4.NBT.6||no four-digit dividends,
Arrow,3.NBT.3,4.NBT.5||no two-digit by two-digit,
Arrow,3.NF.1,3.G.2,
Nondirectional link,3.NF.1,3.NF.2,
Arrow,3.NF.1,3.NF.3,
Arrow,3.NF.1,"4.NF.3.a,b,c",
Arrow,3.NF.1,4.NF.4.a,
Arrow,3.NF.1,5.NF.7,
Nondirectional link,3.NF.2,3.MD.4,
Arrow,3.NF.2,3.NF.3,
Arrow,3.NF.2,"4.NF.3.a,b,c",
Arrow,3.NF.2,5.G.1,
Arrow,3.NF.2,5.G.2,
Arrow,3.NF.2,6.NS.6.a,
Arrow,3.NF.3,4.NF.1,
Arrow,3.OA.1,3.OA.2,
Arrow,3.OA.1,3.OA.3||no measurement,
Arrow,3.OA.1,3.OA.5,
Nondirectional link,3.OA.1,3.OA.6,
Arrow,3.OA.1,4.NF.4.a,
Arrow,3.OA.1,4.OA.1,
Arrow,"3.OA.1,2;4.OA.1,2",5.NF.3,
Arrow,"3.OA.1,2;4.OA.1,2",5.NF.5,
Arrow,"3.OA.1,2;4.OA.1,2",5.NF.6||a/b x n,
Arrow,"3.OA.1,2;4.OA.1,2",5.OA.2,
Arrow,3.OA.2,3.OA.3||no measurement,
Arrow,3.OA.2,3.OA.5,
Nondirectional link,3.OA.2,3.OA.6,
Nondirectional link,3.OA.3,3.OA.4,
Arrow,3.OA.3,3.OA.8,
Arrow,3.OA.3,3.OA.8||no judging reasonableness,
Arrow,3.OA.3,4.NF.4.c,
Arrow,3.OA.3,4.OA.1,
Arrow,3.OA.3,4.OA.2,
Arrow,3.OA.3||no measurement,3.OA.3,
Nondirectional link,3.OA.3||no measurement,3.OA.4,
Nondirectional link,3.OA.3||no measurement,3.OA.6,
Arrow,3.OA.3||no measurement,3.OA.8||no judging reasonableness,
Nondirectional link,3.OA.4,3.OA.7||no memory,
Arrow,3.OA.4,4.MD.3,
Nondirectional link,3.OA.5,3.MD.7.c,
Arrow,3.OA.5,3.NBT.3,
Arrow,3.OA.5,3.OA.7||no memory,
Arrow,3.OA.5,3.OA.9,
Arrow,3.OA.5,4.NBT.5||no two-digit by two-digit,
Arrow,3.OA.5,4.NBT.6||no four-digit dividends,
Arrow,3.OA.5,5.MD.5.a,
Arrow,3.OA.5,"6.EE.3,4",
Arrow,3.OA.6,3.OA.7||no memory,
Arrow,3.OA.6,5.NF.3,
Arrow,3.OA.6,5.NF.7,
Arrow,3.OA.6,6.NS.1,
Nondirectional link,3.OA.7,3.OA.8,
Arrow,3.OA.7,4.MD.1,
Arrow,3.OA.7,4.NBT.5||no two-digit by two-digit,
Arrow,3.OA.7,4.NBT.6||no four-digit dividends,
Arrow,3.OA.7,4.OA.4,
Arrow,3.OA.7||no memory,3.OA.7,
Nondirectional link,3.OA.7||no memory,3.OA.8||no judging reasonableness,
Nondirectional link,3.OA.8,3.MD.3,
Nondirectional link,3.OA.8,3.MD.7.d,
Nondirectional link,3.OA.8,3.MD.8,
Arrow,3.OA.8,4.OA.3||no judging reasonableness,
Arrow,3.OA.8||no judging reasonableness,3.OA.8,
Arrow,3.OA.9,4.OA.5,
Arrow,4.G.1,4.G.2,
Nondirectional link,4.G.1,4.MD.5,
Arrow,4.G.2,5.G.3,
Arrow,4.MD.1,4.MD.2,
Arrow,4.MD.1,5.MD.1,
Arrow,4.MD.1,6.RP.1,
Nondirectional link,4.MD.2,4.NF.3.d,
Arrow,4.MD.2,5.MD.1,
Arrow,4.MD.2,5.NF.3,
Arrow,4.MD.2,5.NF.5,
Arrow,4.MD.2,5.NF.6||a/b x n,
Arrow,4.MD.3,5.MD.5.a,
Arrow,4.MD.3,6.G.1,
Nondirectional link,4.MD.4,4.NF.3.d,
Arrow,4.MD.4,5.MD.2,
Nondirectional link,4.MD.5,4.G.2,
Arrow,4.MD.5,4.MD.6,
Arrow,4.MD.5,4.MD.7,
Arrow,4.MD.7,7.G.5,
Arrow,4.NBT.1,4.NBT.2,
Arrow,4.NBT.1,4.NBT.3,
Arrow,4.NBT.1,4.NBT.4,
Arrow,4.NBT.1,4.NBT.5||no two-digit by two-digit,
Arrow,4.NBT.1,4.NBT.6||no four-digit dividends,
Arrow,4.NBT.1,5.NBT.1,
Arrow,4.NBT.2,4.NBT.3,
Arrow,4.NBT.2,5.NBT.3,
Arrow,4.NBT.3,4.OA.3||no judging reasonableness,
Arrow,4.NBT.3,5.NBT.4,
Arrow,4.NBT.4,5.NBT.5||no fluency,
Arrow,4.NBT.4,5.NBT.6||three-digit dividends,
Arrow,4.NBT.4,5.NBT.7,
Arrow,4.NBT.5,4.NBT.6,
Arrow,4.NBT.5,5.NBT.5||no fluency,
Arrow,4.NBT.5||no two-digit by two-digit,4.NBT.5,
Arrow,4.NBT.5||no two-digit by two-digit,4.NBT.6||no four-digit dividends,
Arrow,4.NBT.6,4.OA.3,
Arrow,4.NBT.6,4.OA.3||no judging reasonableness,
Arrow,4.NBT.6||no four-digit dividends,4.NBT.6,
Arrow,4.NBT.6||no four-digit dividends,5.NBT.6||three-digit dividends,
Arrow,4.NF.1,4.NF.2,
Arrow,4.NF.1,4.NF.3.c,
Arrow,4.NF.1,4.NF.5,
Arrow,4.NF.1,5.NF.1,
Arrow,4.NF.1,5.NF.5,
Arrow,4.NF.2,4.NF.7,
Arrow,4.NF.2,5.NF.2||no estimation,
Arrow,"4.NF.3.a,b,c",4.MD.2,
Arrow,"4.NF.3.a,b,c",4.NF.3.d,
Arrow,"4.NF.3.a,b,c",4.NF.5,
Arrow,"4.NF.3.a,b,c",5.NF.1,
Arrow,4.NF.3.d,5.NF.1,
Arrow,4.NF.4,5.NF.4.a||a/b x n,
Arrow,4.NF.4,5.NF.7,
Arrow,4.NF.4.a,4.NF.4.b,
Nondirectional link,4.NF.4.a,4.NF.4.c,
Nondirectional link,4.NF.4.b,4.NF.4.c,
Arrow,4.NF.4.c,4.MD.2,
Arrow,4.NF.5,4.MD.2,
Arrow,4.NF.5,5.NBT.1,
Arrow,4.NF.6,4.MD.2,
Arrow,4.NF.6,4.NF.7,
Arrow,4.NF.6,5.NBT.1,
Arrow,4.NF.7,5.NBT.1,
Arrow,4.NF.7,5.NBT.3,
Nondirectional link,4.OA.2,4.MD.1,
Arrow,4.OA.2,4.NF.1,
Arrow,4.OA.2,4.NF.4.a,
Arrow,4.OA.2,6.RP.1,
Arrow,4.OA.2,6.RP.2,
Arrow,4.OA.2,8.EE.3,
Nondirectional link,4.OA.3,4.MD.2,
